Month,national anthem: (India),national song: (India)
2004-01,81,0
2004-02,40,0
2004-03,51,0
2004-04,13,0
2004-05,0,0
2004-06,0,0
2004-07,20,0
2004-08,100,9
2004-09,9,0
2004-10,30,10
2004-11,34,11
2004-12,9,9
2005-01,42,17
2005-02,17,0
2005-03,7,0
2005-04,0,0
2005-05,28,0
2005-06,20,7
2005-07,19,13
2005-08,51,6
2005-09,18,6
2005-10,36,0
2005-11,0,0
2005-12,0,6
2006-01,66,20
2006-02,11,0
2006-03,14,14
2006-04,28,5
2006-05,21,4
2006-06,29,12
2006-07,40,24
2006-08,75,26
2006-09,22,26
2006-10,23,11
2006-11,17,3
2006-12,30,0
2007-01,31,13
2007-02,25,13
2007-03,19,0
2007-04,20,3
2007-05,16,2
2007-06,23,9
2007-07,13,9
2007-08,77,21
2007-09,26,7
2007-10,16,10
2007-11,29,4
2007-12,20,8
2008-01,21,10
2008-02,16,10
2008-03,11,0
2008-04,14,4
2008-05,10,3
2008-06,10,7
2008-07,23,12
2008-08,70,16
2008-09,77,12
2008-10,24,8
2008-11,13,14
2008-12,9,15
2009-01,38,17
2009-02,14,6
2009-03,22,1
2009-04,8,12
2009-05,18,11
2009-06,28,11
2009-07,24,9
2009-08,40,19
2009-09,19,9
2009-10,21,4
2009-11,16,6
2009-12,22,7
2010-01,33,12
2010-02,20,8
2010-03,34,5
2010-04,17,7
2010-05,28,10
2010-06,25,11
2010-07,22,11
2010-08,58,16
2010-09,21,7
2010-10,27,10
2010-11,25,8
2010-12,25,6
2011-01,30,17
2011-02,34,10
2011-03,34,11
2011-04,33,11
2011-05,17,8
2011-06,16,8
2011-07,28,10
2011-08,61,29
2011-09,20,12
2011-10,17,9
2011-11,16,12
2011-12,23,13
2012-01,31,22
2012-02,17,10
2012-03,14,13
2012-04,16,10
2012-05,13,9
2012-06,17,11
2012-07,20,14
2012-08,47,24
2012-09,22,12
2012-10,28,10
2012-11,18,11
2012-12,16,9
2013-01,24,13
2013-02,20,8
2013-03,13,10
2013-04,17,7
2013-05,17,9
2013-06,17,11
2013-07,24,15
2013-08,43,25
2013-09,17,11
2013-10,13,7
2013-11,17,13
2013-12,15,10
2014-01,24,16
2014-02,16,10
2014-03,23,13
2014-04,26,12
2014-05,14,10
2014-06,17,11
2014-07,22,12
2014-08,55,32
2014-09,22,12
2014-10,19,15
2014-11,21,11
2014-12,21,14
2015-01,30,20
2015-02,21,16
2015-03,28,13
2015-04,16,10
2015-05,15,11
2015-06,16,10
2015-07,24,14
2015-08,47,33
2015-09,16,13
2015-10,15,12
2015-11,22,11
2015-12,23,15
2016-01,34,22
2016-02,19,13
2016-03,50,16
2016-04,21,13
2016-05,17,13
2016-06,17,10
2016-07,22,15
2016-08,50,35
2016-09,16,14
2016-10,19,14
2016-11,25,15
2016-12,30,16
2017-01,44,29
2017-02,24,16
2017-03,19,13
2017-04,17,11
2017-05,17,10
2017-06,50,15
2017-07,24,18
2017-08,53,39
2017-09,21,20
2017-10,26,14
2017-11,24,17
2017-12,18,16
2018-01,28,26
2018-02,18,17
2018-03,16,14
2018-04,14,11
2018-05,14,13
2018-06,18,14
2018-07,21,16
2018-08,41,32
2018-09,18,16
2018-10,14,14
2018-11,13,16
2018-12,13,14
2019-01,17,20
2019-02,17,14
2019-03,13,12
2019-04,11,10
2019-05,12,10
2019-06,24,13
2019-07,29,16
2019-08,29,21
2019-09,17,11
2019-10,21,10
2019-11,15,10
2019-12,14,10
2020-01,21,14
2020-02,17,11
2020-03,14,8
2020-04,17,11
2020-05,18,9
2020-06,12,8
2020-07,15,8
2020-08,35,18
2020-09,16,10
2020-10,14,10
2020-11,14,9
2020-12,16,10
2021-01,28,11
2021-02,18,10
2021-03,15,9
2021-04,12,7
2021-05,12,7
2021-06,17,8
2021-07,22,10
2021-08,87,21
2021-09,23,10
2021-10,22,9
2021-11,22,11
